Date,Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Avg. Order Value,Revenue
20170223,Referral,"20,280","5,698","24,813",15.19%,5.58,0:05:40,3.30%,819,R$663.97,"R$543,795.51"
20170223,Social,616,302,686,27.11%,4.67,0:04:37,0.58%,4,R$555.74,"R$2,222.94"
20170224,(Other),"14,772","10,336","15,876",23.58%,3.32,0:02:11,0.27%,43,R$668.10,"R$28,728.21"
20170224,Direct,"110,578","43,245","132,440",20.85%,5.09,0:05:14,2.06%,"2,729",R$628.49,"R$1,715,135.80"
20170224,Display,"13,434","5,420","17,391",42.50%,3.27,0:02:46,0.70%,121,R$621.39,"R$75,188.68"
20170224,Organic Search,"61,907","26,675","75,761",15.67%,6.04,0:06:16,2.17%,"1,645",R$588.99,"R$968,894.82"
20170224,Paid Search,"46,885","19,895","62,946",18.76%,5.27,0:05:48,2.88%,"1,811",R$680.27,"R$1,231,973.62"
20170224,Referral,"19,557","5,541","23,974",16.26%,5.56,0:05:25,2.82%,675,R$654.25,"R$441,616.02"
20170224,Social,"1,382",639,"1,466",16.03%,5.57,0:03:09,0.27%,4,R$810.18,"R$3,240.73"
20170225,(Other),"20,348","15,825","22,227",26.49%,2.82,0:01:40,0.15%,33,R$529.69,"R$17,479.75"
20170225,Direct,"83,050","35,912","97,688",22.05%,5.51,0:05:18,2.22%,"2,173",R$571.08,"R$1,240,952.41"
20170225,Display,"11,283","4,952","14,938",44.98%,3.29,0:02:51,0.78%,116,R$509.59,"R$59,111.96"
20170225,Organic Search,"45,478","19,208","55,424",16.45%,6.42,0:06:18,2.12%,"1,176",R$591.06,"R$695,085.34"
20170225,Paid Search,"31,188","12,859","43,687",18.50%,5.67,0:06:20,3.50%,"1,529",R$649.23,"R$992,679.09"
20170225,Referral,"14,213","4,661","17,541",14.94%,5.9,0:05:39,3.69%,648,R$664.08,"R$430,321.11"
20170225,Social,"4,503","2,474","4,760",9.83%,6.25,0:03:05,0.23%,11,R$752.96,"R$8,282.54"
20170226,(Other),"17,901","13,753","19,316",26.18%,2.7,0:01:28,0.20%,39,R$513.96,"R$20,044.58"
20170226,Direct,"77,256","35,476","90,766",21.24%,5.61,0:05:25,2.61%,"2,370",R$518.06,"R$1,227,804.45"
20170226,Display,"10,403","4,616","13,798",44.96%,3.38,0:03:02,1.03%,142,R$467.45,"R$66,378.40"
20170226,Organic Search,"42,933","18,525","51,914",16.19%,6.53,0:06:12,2.30%,"1,192",R$565.96,"R$674,618.62"
20170226,Paid Search,"32,124","13,866","44,645",19.64%,5.71,0:06:29,3.54%,"1,581",R$590.14,"R$933,016.65"
20170226,Referral,"13,918","4,554","16,972",14.51%,6.08,0:05:40,3.60%,611,R$641.48,"R$391,941.76"
