Date,Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Avg. Order Value,Revenue
20170528,(Other),"8,962","2,637","10,399",18.65%,4.68,0:03:52,1.07%,111,R$595.88,"R$66,142.30"
20170528,Direct,"128,729","58,936","150,690",20.70%,4.93,0:05:06,3.09%,"4,653",R$572.76,"R$2,665,042.09"
20170528,Display,"12,725","7,339","17,206",46.04%,2.62,0:02:06,0.70%,120,R$764.79,"R$91,774.87"
20170528,Email,3,3,4,25.00%,2.25,0:02:44,0.00%,0,R$0.00,R$0.00
20170528,Organic Search,"49,277","18,300","59,455",16.07%,6.13,0:06:54,3.14%,"1,866",R$625.68,"R$1,167,524.12"
20170528,Paid Search,"73,878","36,127","100,661",17.04%,5.55,0:05:39,2.89%,"2,913",R$674.34,"R$1,964,348.91"
20170528,Referral,"28,652","7,214","36,081",14.75%,5.83,0:06:39,4.44%,"1,602",R$655.15,"R$1,049,551.04"
20170528,Social,"3,038","1,687","3,261",17.48%,4.93,0:02:56,0.34%,11,R$452.94,"R$4,982.30"
20170529,(Other),"6,187","1,943","7,086",23.95%,4.22,0:04:04,1.06%,75,R$587.65,"R$44,073.88"
20170529,Direct,"138,311","54,463","166,855",18.70%,4.91,0:05:26,2.56%,"4,274",R$630.12,"R$2,693,125.50"
20170529,Display,"9,115","4,172","12,734",46.03%,2.76,0:02:13,0.59%,75,R$757.39,"R$56,804.46"
20170529,Email,12,9,13,30.77%,2.69,0:05:05,0.00%,0,R$0.00,R$0.00
20170529,Organic Search,"66,103","25,904","79,557",15.49%,5.75,0:06:38,2.60%,"2,069",R$691.69,"R$1,431,112.54"
20170529,Paid Search,"94,056","45,066","127,809",18.96%,5.06,0:05:19,2.09%,"2,669",R$743.35,"R$1,983,989.33"
20170529,Referral,"31,815","9,269","39,394",13.41%,5.49,0:06:05,3.74%,"1,475",R$747.85,"R$1,103,081.75"
20170529,Social,"3,163","1,753","3,435",16.71%,4.84,0:02:59,0.15%,5,R$346.65,"R$1,733.26"
20170530,(Other),"3,414",919,"3,945",21.57%,4.73,0:04:22,1.14%,45,R$683.79,"R$30,770.37"
20170530,Direct,"121,942","47,933","146,362",20.02%,4.92,0:05:31,2.60%,"3,807",R$697.99,"R$2,657,258.48"
20170530,Display,"10,600","4,962","13,918",45.14%,2.92,0:02:33,0.57%,79,R$566.68,"R$44,767.45"
20170530,Email,15,10,15,73.33%,2.07,0:01:56,6.67%,1,R$393.90,R$393.90
20170530,Organic Search,"69,139","27,166","80,857",14.16%,5.97,0:07:12,3.08%,"2,493",R$699.91,"R$1,744,868.62"
20170530,Paid Search,"59,527","26,846","80,988",20.05%,4.93,0:05:15,2.10%,"1,702",R$789.67,"R$1,344,010.91"
20170530,Referral,"33,333","10,649","40,968",12.36%,5.74,0:06:22,3.91%,"1,601",R$763.18,"R$1,221,849.72"
20170530,Social,"2,654","1,427","2,856",18.17%,5.13,0:03:13,0.35%,10,R$465.81,"R$4,658.12"
20170531,(Other),"10,228","3,057","11,008",14.53%,5.27,0:04:05,0.74%,82,R$627.40,"R$51,447.09"
20170531,Direct,"118,731","46,986","144,725",20.40%,4.94,0:05:39,2.91%,"4,208",R$691.54,"R$2,910,013.86"
20170531,Display,"10,566","5,520","14,013",45.21%,2.86,0:02:35,0.66%,93,R$724.27,"R$67,356.67"
20170531,Email,17,5,20,70.00%,1.7,0:01:49,0.00%,0,R$0.00,R$0.00
20170531,Organic Search,"77,744","31,657","93,509",13.08%,6.1,0:07:39,3.37%,"3,150",R$719.56,"R$2,266,626.42"
20170531,Paid Search,"16,245","4,044","20,534",18.09%,5.25,0:05:58,2.84%,584,R$759.66,"R$443,639.01"
20170531,Referral,"39,058","13,108","48,447",12.85%,5.76,0:06:27,3.94%,"1,908",R$730.22,"R$1,393,260.63"
20170531,Social,874,468,964,26.56%,4.33,0:03:16,0.62%,6,R$420.38,"R$2,522.28"
20170601,(Other),"15,426","5,038","17,363",18.92%,4.43,0:03:49,0.74%,129,R$672.36,"R$86,734.34"
20170601,Direct,"122,598","47,846","147,055",20.50%,4.81,0:05:21,2.60%,"3,817",R$662.30,"R$2,528,013.43"
20170601,Display,"12,127","7,464","15,488",45.20%,2.59,0:01:57,0.58%,90,R$716.22,"R$64,459.76"
20170601,Email,11,5,12,58.33%,1.67,0:05:47,0.00%,0,R$0.00,R$0.00
20170601,Organic Search,"68,241","27,120","81,986",13.97%,5.91,0:07:06,3.01%,"2,469",R$719.30,"R$1,775,956.14"
20170601,Paid Search,"42,571","15,955","57,541",15.49%,5.51,0:06:01,2.72%,"1,566",R$739.96,"R$1,158,776.64"
20170601,Referral,"34,317","10,477","41,678",13.73%,5.41,0:05:53,3.61%,"1,505",R$766.00,"R$1,152,829.59"
20170601,Social,766,443,836,29.67%,3.78,0:02:54,1.20%,10,R$503.63,"R$5,036.29"
20170602,(Other),"10,530","2,906","11,672",16.12%,5.32,0:04:03,0.65%,76,R$683.77,"R$51,966.74"
20170602,Direct,"120,189","46,003","143,384",21.26%,4.78,0:05:12,2.32%,"3,329",R$654.13,"R$2,177,596.25"
20170602,Display,"17,571","10,192","22,353",42.52%,2.97,0:02:06,0.38%,84,R$788.21,"R$66,209.35"
20170602,Email,9,3,10,60.00%,2.2,0:04:44,0.00%,0,R$0.00,R$0.00
20170602,Organic Search,"59,848","22,699","71,826",14.92%,5.76,0:06:44,2.60%,"1,865",R$717.57,"R$1,338,267.37"
20170602,Paid Search,"49,088","19,292","67,243",14.86%,5.53,0:05:48,2.63%,"1,767",R$750.83,"R$1,326,723.09"
20170602,Referral,"30,800","9,074","37,482",13.30%,5.26,0:05:44,3.08%,"1,153",R$728.57,"R$840,037.07"
20170602,Social,721,392,785,27.64%,4.47,0:03:33,1.02%,8,"R$1,082.12","R$8,656.94"
20170603,(Other),"13,926","3,852","16,006",14.91%,5.4,0:04:12,1.02%,163,R$551.33,"R$89,867.00"
20170603,Direct,"98,371","41,541","116,276",20.20%,5.33,0:05:32,3.45%,"4,010",R$503.55,"R$2,019,244.89"
20170603,Display,"11,087","4,990","14,856",34.37%,3.73,0:02:56,0.93%,138,R$576.19,"R$79,514.03"
20170603,Organic Search,"42,416","15,099","51,568",14.80%,6.55,0:07:11,3.55%,"1,830",R$598.46,"R$1,095,174.59"
20170603,Paid Search,"44,584","18,002","60,967",14.05%,6.17,0:06:41,3.97%,"2,422",R$620.56,"R$1,503,007.00"
20170603,Referral,"24,014","6,578","29,848",12.89%,6.06,0:06:39,4.73%,"1,412",R$612.75,"R$865,207.28"
20170603,Social,452,205,500,20.60%,5.47,0:04:59,1.20%,6,R$525.80,"R$3,154.82"
20170604,(Other),"13,800","3,955","16,201",16.72%,5.33,0:04:34,1.60%,260,R$492.87,"R$128,144.97"
20170604,Direct,"117,921","50,142","140,395",18.56%,5.79,0:06:18,4.55%,"6,383",R$528.29,"R$3,372,098.24"
20170604,Display,"10,812","5,093","15,191",34.03%,3.78,0:03:01,1.10%,167,R$505.65,"R$84,442.87"
20170604,Organic Search,"53,481","19,570","64,695",13.75%,6.77,0:07:37,4.20%,"2,719",R$571.97,"R$1,555,191.28"
20170604,Paid Search,"52,295","21,332","73,922",13.32%,6.38,0:07:09,4.57%,"3,376",R$604.22,"R$2,039,852.93"
20170604,Referral,"30,240","9,159","37,455",11.48%,6.37,0:07:07,5.94%,"2,224",R$562.20,"R$1,250,321.85"
20170604,Social,481,230,536,26.68%,4.86,0:04:03,2.05%,11,R$595.73,"R$6,553.02"
20170605,(Other),"9,792","2,898","11,606",23.45%,4.44,0:04:20,1.10%,128,R$600.53,"R$76,868.02"
20170605,Direct,"138,910","54,263","168,447",19.85%,4.94,0:05:37,2.69%,"4,535",R$657.67,"R$2,982,540.94"
20170605,Display,"8,947","3,944","12,713",37.21%,3.32,0:02:38,0.78%,99,R$615.69,"R$60,953.53"
20170605,Email,7,2,7,85.71%,1.14,0:00:04,0.00%,0,R$0.00,R$0.00
20170605,Organic Search,"70,354","27,271","84,665",14.76%,5.83,0:06:51,2.64%,"2,233",R$657.15,"R$1,467,423.71"
20170605,Paid Search,"68,986","29,744","95,147",14.56%,5.58,0:06:06,2.74%,"2,609",R$758.78,"R$1,979,657.56"
20170605,Referral,"36,494","11,312","44,851",13.43%,5.38,0:06:00,3.38%,"1,517",R$718.73,"R$1,090,314.26"
20170605,Social,468,215,529,24.95%,4.54,0:04:13,0.57%,3,R$925.88,"R$2,777.65"
20170606,(Other),"4,950","1,279","5,805",19.84%,5.01,0:04:22,0.95%,55,R$767.80,"R$42,229.24"
20170606,Direct,"126,312","49,350","151,099",19.90%,4.92,0:05:30,2.63%,"3,967",R$687.23,"R$2,726,235.09"
20170606,Display,"8,814","3,238","12,949",34.51%,3.44,0:02:27,0.53%,68,R$817.30,"R$55,576.06"
20170606,Email,8,6,9,55.56%,2.11,0:02:09,0.00%,0,R$0.00,R$0.00
20170606,Organic Search,"61,999","23,857","74,134",14.95%,5.75,0:06:48,2.75%,"2,042",R$718.24,"R$1,466,637.88"
20170606,Paid Search,"61,781","25,845","85,276",14.29%,5.64,0:06:06,2.75%,"2,341",R$780.56,"R$1,827,297.54"
20170606,Referral,"35,029","9,618","42,892",11.81%,5.24,0:05:42,3.25%,"1,392",R$745.09,"R$1,037,165.11"
20170606,Social,402,179,472,26.27%,6.14,0:06:16,2.75%,13,R$667.14,"R$8,672.87"
20170607,(Other),"11,827","4,274","13,078",15.86%,5.16,0:03:54,0.60%,78,R$756.54,"R$59,009.73"
20170607,Direct,"124,760","50,111","149,174",21.88%,4.88,0:05:25,2.41%,"3,590",R$693.42,"R$2,489,365.90"
20170607,Display,"8,307","3,261","11,746",35.67%,3.46,0:02:31,0.66%,78,R$785.46,"R$61,265.51"
20170607,Email,8,7,9,88.89%,1.11,0:00:04,0.00%,0,R$0.00,R$0.00
20170607,Organic Search,"62,156","24,658","74,406",14.80%,5.84,0:06:58,2.70%,"2,011",R$767.44,"R$1,543,313.02"
20170607,Paid Search,"57,488","23,140","78,299",13.63%,5.6,0:06:08,2.73%,"2,141",R$783.97,"R$1,678,473.00"
20170607,Referral,"31,421","8,569","38,676",13.69%,5.08,0:05:32,2.98%,"1,153",R$839.63,"R$968,090.87"
20170607,Social,704,319,755,33.51%,3.97,0:03:53,1.72%,13,R$445.22,"R$5,787.84"
20170608,(Other),"11,136","3,447","12,664",19.20%,4.5,0:03:42,0.58%,73,R$635.38,"R$46,382.70"
20170608,Direct,"122,276","48,371","145,965",21.29%,4.79,0:05:11,2.00%,"2,919",R$710.40,"R$2,073,647.92"
20170608,Display,"8,974","3,350","13,349",34.65%,3.43,0:02:17,0.65%,87,R$927.23,"R$80,668.95"
20170608,Email,2,0,3,33.33%,1.67,0:00:13,0.00%,0,R$0.00,R$0.00
20170608,Organic Search,"56,665","21,590","69,055",15.00%,5.64,0:06:30,2.21%,"1,526",R$722.70,"R$1,102,834.34"
20170608,Paid Search,"61,101","25,331","81,825",14.46%,5.46,0:05:55,2.49%,"2,034",R$860.54,"R$1,750,334.44"
20170608,Referral,"31,568","8,722","38,855",12.90%,5.17,0:05:27,2.65%,"1,028",R$801.57,"R$824,018.07"
20170608,Social,522,299,572,26.57%,4.6,0:03:37,0.70%,4,R$946.78,"R$3,787.13"
20170609,(Other),"21,374","6,569","23,832",10.13%,6.12,0:04:18,0.35%,83,R$694.36,"R$57,631.66"
20170609,Direct,"125,270","50,797","151,410",20.70%,5.03,0:05:12,2.02%,"3,055",R$698.02,"R$2,132,443.83"
20170609,Display,"11,919","4,225","16,347",33.57%,3.92,0:03:07,0.49%,80,R$926.58,"R$74,126.13"
20170609,Email,4,3,4,75.00%,1.25,0:00:09,0.00%,0,R$0.00,R$0.00
20170609,Organic Search,"58,045","22,354","70,467",14.30%,6.01,0:06:36,2.19%,"1,542",R$703.12,"R$1,084,214.07"
20170609,Paid Search,"53,984","20,344","73,562",15.40%,5.66,0:06:07,2.52%,"1,854",R$862.07,"R$1,598,270.27"
20170609,Referral,"29,385","7,806","36,373",12.64%,5.31,0:05:28,2.59%,942,R$823.92,"R$776,129.24"
20170609,Social,467,247,516,29.65%,4.84,0:04:08,0.39%,2,R$501.81,"R$1,003.61"
20170610,(Other),"17,233","5,094","19,821",13.31%,6.36,0:04:46,0.72%,142,R$766.02,"R$108,774.91"
20170610,Direct,"103,369","43,315","122,059",20.67%,5.9,0:05:36,2.72%,"3,321",R$625.06,"R$2,075,817.72"
20170610,Display,"11,697","3,037","15,646",24.39%,4.78,0:04:10,0.72%,113,R$594.94,"R$67,228.67"
20170610,Organic Search,"53,635","21,289","65,774",13.84%,7.01,0:06:44,2.47%,"1,624",R$689.66,"R$1,120,009.26"
20170610,Paid Search,"37,548","13,216","53,881",16.81%,6.62,0:07:14,3.65%,"1,966",R$760.38,"R$1,494,909.17"
20170610,Referral,"21,723","5,012","27,187",11.79%,6.21,0:06:09,3.61%,981,R$731.13,"R$717,240.86"
20170610,Social,568,258,623,19.74%,5.33,0:03:57,0.48%,3,R$463.87,"R$1,391.60"
20170611,(Other),"12,604","3,755","14,526",15.37%,6.13,0:04:53,1.54%,223,R$629.61,"R$140,404.14"
20170611,Direct,"119,118","49,290","139,859",18.71%,6.43,0:06:31,4.30%,"6,018",R$568.55,"R$3,421,514.14"
20170611,Display,"10,604","2,731","14,436",27.82%,4.81,0:04:26,1.29%,186,R$583.72,"R$108,572.04"
20170611,Email,1,0,1,0.00%,2,0:00:08,0.00%,0,R$0.00,R$0.00
20170611,Organic Search,"66,397","27,423","81,992",13.72%,7.16,0:07:15,3.52%,"2,887",R$600.93,"R$1,734,879.20"
20170611,Paid Search,"47,892","18,306","67,959",16.02%,6.87,0:08:02,4.93%,"3,352",R$693.29,"R$2,323,907.09"
20170611,Referral,"26,680","6,716","32,978",11.10%,6.17,0:06:14,4.69%,"1,548",R$606.12,"R$938,274.02"
20170611,Social,726,302,817,23.99%,5.42,0:05:15,1.59%,13,R$580.99,"R$7,552.89"
20170612,(Other),"8,541","2,584","9,933",24.59%,4.16,0:03:45,0.74%,74,R$611.08,"R$45,219.65"
20170612,Direct,"133,000","52,661","158,905",19.99%,4.83,0:05:21,2.32%,"3,685",R$671.06,"R$2,472,854.83"
20170612,Display,"8,588","3,370","12,062",38.78%,3.36,0:02:46,0.85%,102,R$786.86,"R$80,259.39"
20170612,Organic Search,"75,502","31,440","90,241",14.99%,5.79,0:06:18,2.21%,"1,996",R$735.83,"R$1,468,724.61"
20170612,Paid Search,"61,235","24,288","81,570",16.82%,5.27,0:06:27,2.96%,"2,411",R$812.33,"R$1,958,518.81"
20170612,Referral,"29,445","7,563","36,699",13.74%,5.12,0:05:32,2.77%,"1,016",R$808.19,"R$821,118.06"
20170612,Social,654,411,711,18.99%,5.66,0:03:30,0.70%,5,R$588.78,"R$2,943.90"
20170613,(Other),"3,912",793,"4,715",26.24%,4.46,0:04:22,0.89%,42,R$698.80,"R$29,349.73"
20170613,Direct,"134,521","54,273","159,396",20.16%,4.91,0:05:26,2.37%,"3,785",R$722.25,"R$2,733,701.07"
20170613,Display,"10,234","3,943","14,288",37.64%,3.36,0:02:27,0.75%,107,R$687.21,"R$73,531.24"
20170613,Email,4,1,4,75.00%,1.5,0:00:17,0.00%,0,R$0.00,R$0.00
20170613,Organic Search,"75,396","31,756","91,877",14.99%,5.91,0:06:27,2.39%,"2,199",R$706.47,"R$1,553,525.76"
20170613,Paid Search,"59,678","24,561","81,092",17.01%,5.3,0:06:35,3.16%,"2,561",R$798.41,"R$2,044,726.29"
20170613,Referral,"31,226","7,750","38,517",13.29%,5.15,0:05:31,3.02%,"1,165",R$813.46,"R$947,685.68"
20170613,Social,574,307,632,21.84%,5.15,0:04:14,0.79%,5,R$337.32,"R$1,686.60"
20170614,(Other),"14,584","4,174","16,225",19.89%,5.13,0:03:58,0.94%,152,R$595.05,"R$90,447.59"
20170614,Direct,"131,035","54,621","157,658",21.66%,4.91,0:05:23,2.49%,"3,927",R$677.20,"R$2,659,362.83"
20170614,Display,"9,297","2,814","13,109",36.21%,3.51,0:03:01,0.79%,104,R$702.85,"R$73,096.09"
20170614,Email,2,0,3,66.67%,1.33,0:00:02,0.00%,0,R$0.00,R$0.00
20170614,Organic Search,"74,617","30,695","90,805",15.15%,5.96,0:06:37,2.67%,"2,420",R$674.86,"R$1,633,152.07"
20170614,Paid Search,"53,351","21,339","73,256",17.34%,5.36,0:06:46,3.57%,"2,616",R$803.45,"R$2,101,837.50"
20170614,Referral,"29,445","7,148","36,281",14.81%,5.48,0:06:04,3.59%,"1,304",R$750.85,"R$979,104.32"
20170614,Social,507,217,588,22.45%,5.2,0:04:41,1.36%,8,R$403.65,"R$3,229.20"
20170615,(Other),"16,950","5,046","19,696",18.91%,5.13,0:04:26,1.29%,255,R$608.80,"R$155,244.63"
20170615,Direct,"117,301","53,114","136,469",21.38%,5.16,0:05:20,2.84%,"3,881",R$602.87,"R$2,339,735.73"
20170615,Display,"9,333","2,185","13,771",32.63%,3.7,0:03:18,1.13%,155,R$576.46,"R$89,351.20"
20170615,Email,2,1,2,100.00%,1,0:00:00,0.00%,0,R$0.00,R$0.00
20170615,Organic Search,"64,154","26,317","78,504",15.60%,6.34,0:06:34,2.88%,"2,264",R$619.28,"R$1,402,041.46"
20170615,Paid Search,"45,838","18,617","64,083",17.86%,5.66,0:07:26,4.23%,"2,713",R$744.98,"R$2,021,118.37"
20170615,Referral,"29,334","6,671","37,700",14.30%,5.98,0:06:49,4.36%,"1,645",R$704.00,"R$1,158,083.63"
20170615,Social,495,181,560,18.57%,5.44,0:05:23,1.96%,11,R$478.94,"R$5,268.39"
20170616,(Other),"8,583","2,356","10,055",23.04%,4.65,0:04:28,1.20%,121,R$518.23,"R$62,705.82"
20170616,Direct,"117,696","50,231","137,898",20.53%,4.97,0:05:23,2.88%,"3,970",R$578.64,"R$2,297,194.19"
20170616,Display,"7,986","1,983","10,963",35.08%,3.5,0:03:30,1.16%,127,R$615.47,"R$78,164.42"
20170616,Organic Search,"68,539","28,819","83,405",15.14%,6.1,0:06:36,2.90%,"2,418",R$619.16,"R$1,497,129.46"
20170616,Paid Search,"46,672","18,582","64,472",17.76%,5.42,0:06:55,3.66%,"2,357",R$735.35,"R$1,733,230.04"
20170616,Referral,"30,352","6,734","38,503",14.29%,5.57,0:06:11,4.00%,"1,541",R$657.93,"R$1,013,875.03"
20170616,Social,408,132,477,19.29%,5.61,0:05:04,2.10%,10,R$659.23,"R$6,592.27"
20170617,(Other),"3,956",881,"4,642",20.40%,5.07,0:04:27,1.85%,86,R$604.07,"R$51,950.24"
20170617,Direct,"94,816","42,513","110,451",21.80%,5.1,0:05:07,2.88%,"3,180",R$571.47,"R$1,817,259.71"
20170617,Display,"7,127","2,221","9,882",39.95%,3.35,0:03:07,1.07%,106,R$548.58,"R$58,149.73"
20170617,Organic Search,"54,977","22,651","67,272",15.49%,6.26,0:06:16,2.80%,"1,884",R$640.53,"R$1,206,760.13"
20170617,Paid Search,"35,917","13,877","50,790",18.44%,5.58,0:06:53,3.81%,"1,937",R$705.01,"R$1,365,613.59"
20170617,Referral,"26,135","6,012","33,443",12.84%,5.99,0:06:28,4.06%,"1,358",R$669.27,"R$908,866.69"
20170617,Social,337,127,403,15.14%,5.4,0:04:56,1.49%,6,R$621.46,"R$3,728.74"
20170618,(Other),"3,640",851,"4,344",19.50%,5.65,0:05:23,2.42%,105,R$459.69,"R$48,267.61"
20170618,Direct,"114,082","51,185","135,618",20.35%,5.53,0:05:43,3.78%,"5,127",R$593.68,"R$3,043,786.10"
20170618,Display,"7,332","2,182","10,341",38.08%,3.58,0:03:41,1.46%,151,R$566.74,"R$85,577.62"
20170618,Organic Search,"69,544","30,461","86,315",15.41%,6.44,0:06:29,3.15%,"2,720",R$591.82,"R$1,609,762.52"
20170618,Paid Search,"49,554","20,149","69,343",18.71%,5.69,0:07:21,4.59%,"3,181",R$683.61,"R$2,174,560.62"
20170618,Referral,"30,284","6,930","38,294",12.67%,6.15,0:06:58,4.90%,"1,877",R$655.68,"R$1,230,718.18"
20170618,Social,389,147,441,15.87%,5.41,0:04:58,0.68%,3,R$365.53,"R$1,096.60"
20170619,(Other),"3,773",994,"4,473",24.77%,4.73,0:04:54,1.23%,55,R$562.94,"R$30,961.80"
20170619,Direct,"144,994","57,563","174,201",19.41%,5,0:05:35,2.51%,"4,365",R$694.82,"R$3,032,871.30"
20170619,Display,"13,880","7,169","19,175",41.60%,3.1,0:02:10,0.48%,92,R$655.97,"R$60,349.24"
20170619,Email,3,2,4,0.00%,2.25,0:00:43,0.00%,0,R$0.00,R$0.00
20170619,Organic Search,"90,791","38,340","108,267",15.54%,5.86,0:06:26,2.23%,"2,410",R$694.13,"R$1,672,846.40"
20170619,Paid Search,"69,287","29,833","95,070",16.76%,5.29,0:06:34,2.94%,"2,798",R$807.98,"R$2,260,721.71"
20170619,Referral,"31,449","8,970","40,122",12.28%,5.17,0:05:45,2.99%,"1,199",R$820.94,"R$984,306.68"
20170619,Social,451,197,527,18.98%,5.41,0:06:04,1.90%,10,R$525.42,"R$5,254.17"
20170620,(Other),"6,722","1,744","7,443",18.82%,5.62,0:04:12,0.77%,57,R$469.06,"R$26,736.30"
20170620,Direct,"138,325","56,008","167,258",19.28%,5.17,0:05:40,3.24%,"5,421",R$499.17,"R$2,705,979.65"
20170620,Display,"18,090","5,143","24,870",27.54%,3.45,0:02:16,0.45%,112,R$673.94,"R$75,481.28"
20170620,Email,4,1,5,80.00%,2,0:02:06,0.00%,0,R$0.00,R$0.00
20170620,Organic Search,"85,563","36,195","104,073",15.46%,6.12,0:06:26,2.98%,"3,103",R$507.36,"R$1,574,332.85"
20170620,Paid Search,"65,252","27,899","89,271",17.05%,5.23,0:06:35,2.71%,"2,419",R$834.83,"R$2,019,453.39"
20170620,Referral,"29,531","7,993","37,054",14.30%,5.05,0:05:40,3.17%,"1,173",R$702.96,"R$824,567.18"
20170620,Social,366,148,427,22.48%,5.52,0:04:17,1.41%,6,R$410.37,"R$2,462.20"
20170621,(Other),"31,745","11,297","35,309",19.49%,4.94,0:03:56,0.53%,188,R$605.69,"R$113,869.08"
20170621,Direct,"148,694","60,336","176,154",19.68%,4.96,0:05:08,3.35%,"5,901",R$442.03,"R$2,608,411.73"
20170621,Display,"15,570","5,701","22,232",30.85%,3.43,0:02:15,0.41%,92,R$715.16,"R$65,794.70"
20170621,Email,3,3,3,66.67%,1.33,0:00:01,0.00%,0,R$0.00,R$0.00
20170621,Organic Search,"86,326","35,621","103,104",15.20%,6.01,0:06:19,3.12%,"3,215",R$496.58,"R$1,596,513.97"
20170621,Paid Search,"62,389","25,529","82,621",16.71%,5.22,0:06:28,2.70%,"2,233",R$852.33,"R$1,903,262.93"
20170621,Referral,"26,883","7,487","33,243",14.46%,5.24,0:05:36,3.32%,"1,105",R$652.53,"R$721,043.36"
20170621,Social,452,207,526,27.76%,4.93,0:04:46,0.76%,4,R$509.42,"R$2,037.66"
20170622,(Other),"15,921","5,049","18,447",21.58%,4.57,0:03:58,0.78%,143,R$579.95,"R$82,933.30"
20170622,Direct,"137,496","56,969","165,088",21.29%,4.92,0:05:11,2.77%,"4,570",R$576.04,"R$2,632,495.71"
20170622,Display,"9,694","3,290","14,096",28.53%,3.78,0:02:35,0.63%,89,R$781.05,"R$69,513.87"
20170622,Email,10,6,11,72.73%,1.64,0:00:14,0.00%,0,R$0.00,R$0.00
20170622,Organic Search,"86,780","35,588","104,047",14.82%,6.02,0:06:37,2.89%,"3,008",R$641.50,"R$1,929,636.98"
20170622,Paid Search,"46,346","18,408","60,327",16.93%,5.33,0:06:38,2.92%,"1,763",R$946.12,"R$1,668,011.05"
20170622,Referral,"27,160","8,644","33,428",14.61%,5.25,0:05:46,3.61%,"1,207",R$742.69,"R$896,421.56"
20170622,Social,446,201,518,26.83%,5.48,0:04:41,0.97%,5,"R$1,597.81","R$7,989.03"
20170623,(Other),"59,730","19,862","63,924",11.56%,5.91,0:04:55,0.81%,516,R$514.54,"R$265,502.11"
20170623,Direct,"162,835","68,682","192,283",21.33%,5.4,0:05:45,2.29%,"4,396",R$655.84,"R$2,883,064.52"
20170623,Display,"28,206","15,422","37,728",30.53%,3.48,0:02:29,0.51%,191,R$645.72,"R$123,332.41"
20170623,Email,3,1,4,75.00%,1.5,0:00:08,0.00%,0,R$0.00,R$0.00
20170623,Organic Search,"93,995","38,323","111,648",17.50%,6.01,0:06:43,2.39%,"2,671",R$730.26,"R$1,950,519.36"
20170623,Paid Search,"54,183","21,225","73,456",16.37%,6.23,0:07:27,3.42%,"2,513",R$787.69,"R$1,979,471.31"
20170623,Referral,"27,895","8,209","34,027",13.70%,5.8,0:06:26,3.49%,"1,189",R$752.25,"R$894,426.14"
20170623,Social,"1,104",792,"1,190",44.71%,3.57,0:03:08,0.34%,4,R$593.22,"R$2,372.90"
20170624,(Other),"91,475","36,011","106,210",12.00%,6.93,0:05:15,1.47%,"1,566",R$478.72,"R$749,675.95"
20170624,Direct,"198,106","95,813","231,346",20.60%,6.93,0:06:06,3.47%,"8,020",R$537.64,"R$4,311,878.46"
20170624,Display,"72,925","49,792","92,973",22.16%,4.07,0:02:13,0.43%,398,R$488.53,"R$194,433.02"
20170624,Organic Search,"108,920","45,882","136,287",15.01%,8.12,0:07:23,3.51%,"4,790",R$570.60,"R$2,733,192.48"
20170624,Paid Search,"63,631","22,516","92,967",18.31%,7.7,0:08:24,4.90%,"4,552",R$626.62,"R$2,852,355.73"
20170624,Referral,"28,987","7,736","36,681",12.88%,7.71,0:07:46,6.10%,"2,236",R$602.43,"R$1,347,026.36"
20170624,Social,"1,841","1,307","2,001",25.84%,4.74,0:03:27,1.05%,21,R$767.15,"R$16,110.12"
20170625,(Other),"39,323","12,279","46,711",15.52%,7.58,0:06:42,2.73%,"1,275",R$415.65,"R$529,953.14"
20170625,Direct,"186,524","89,411","223,953",18.91%,7.79,0:07:38,4.72%,"10,560",R$485.54,"R$5,127,320.12"
20170625,Display,"51,266","32,014","63,911",25.26%,4.14,0:02:51,0.74%,472,R$429.41,"R$202,682.71"
20170625,Organic Search,"118,247","49,922","148,813",15.04%,8.42,0:08:01,3.93%,"5,844",R$492.97,"R$2,880,925.03"
20170625,Paid Search,"83,751","32,047","123,627",18.38%,7.94,0:09:17,4.99%,"6,174",R$562.44,"R$3,472,498.98"
20170625,Referral,"32,417","8,926","41,071",11.88%,8.04,0:08:31,6.73%,"2,763",R$537.53,"R$1,485,189.30"
20170625,Social,"2,267","1,728","2,453",27.60%,4.33,0:03:09,1.18%,29,R$545.77,"R$15,827.35"
20170626,(Other),"38,930","14,111","44,441",22.86%,4.52,0:04:20,0.97%,429,R$590.47,"R$253,310.42"
20170626,Direct,"171,284","71,641","206,317",21.72%,5.29,0:05:32,2.64%,"5,441",R$710.52,"R$3,865,940.42"
20170626,Display,"23,323","10,687","31,103",34.12%,3.34,0:02:17,0.42%,130,R$702.31,"R$91,300.78"
20170626,Email,3,2,3,66.67%,1.67,0:00:04,0.00%,0,R$0.00,R$0.00
20170626,Organic Search,"113,355","46,259","138,001",16.44%,6.18,0:06:23,2.37%,"3,269",R$713.24,"R$2,331,572.59"
20170626,Paid Search,"88,743","35,991","120,424",19.22%,5.3,0:06:19,2.77%,"3,338",R$795.85,"R$2,656,560.90"
20170626,Referral,"33,250","10,574","40,839",15.03%,5.31,0:05:40,3.39%,"1,383",R$719.29,"R$994,771.93"
20170626,Social,719,366,797,22.71%,5.66,0:05:09,1.38%,11,R$577.33,"R$6,350.66"
20170627,(Other),"15,412","4,015","18,004",22.88%,4.95,0:04:43,1.20%,216,R$730.16,"R$157,714.18"
